,AGE,ATTRITION,BUSINESSTRAVEL,DAILYRATE,DEPARTMENT,DISTANCEFROMHOME,EDUCATION,EDUCATIONFIELD,EMPLOYEENUMBER,ENVIRONMENTSATISFACTION,GENDER,HOURLYRATE,JOBINVOLVEMENT,JOBLEVEL,JOBROLE,JOBSATISFACTION,MARITALSTATUS,MONTHLYINCOME,MONTHLYRATE,NUMCOMPANIESWORKED,OVERTIME,PERCENTSALARYHIKE,PERFORMANCERATING,RELATIONSHIPSATISFACTION,STOCKOPTIONLEVEL,TOTALWORKINGYEARS,TRAININGTIMESLASTYEAR,WORKLIFEBALANCE,YEARSATCOMPANY,YEARSSINCELASTPROMOTION,YEARSWITHCURRMANAGER,REMOTEWORK
343,27.0,0,travel frequently,294.0,,10,2,,733.0,4,male,32.0,3,3,manufacturing director,1,,8793.0,4809,1,0.0,21,4.0,3,2,9.0,4,2.0,9,1,7,1
344,41.0,0,,314.0,,1,3,,734.0,4,male,59.0,2,5,manager,3,,19189.0,19562,1,0.0,12,,2,1,22.0,3,3.0,22,2,10,0
345,28.0,1,,654.0,research & development,35,2,,,3,female,67.0,1,1,research scientist,2,,2216.0,3872,7,1.0,13,3.0,4,0,10.0,4,3.0,7,3,7,1
346,36.0,0,,427.0,research & development,8,3,,742.0,1,female,63.0,4,3,research director,1,married,11713.0,20335,9,,14,3.0,1,1,10.0,2,3.0,8,0,5,0
347,30.0,0,,501.0,,27,5,marketing,747.0,3,male,99.0,3,2,sales executive,4,divorced,5304.0,25275,7,0.0,23,,4,1,10.0,2,2.0,8,7,7,0
348,56.0,0,travel rarely,,,9,3,,762.0,3,male,81.0,3,4,healthcare representative,4,married,11103.0,20420,7,0.0,11,3.0,3,0,30.0,1,2.0,10,1,1,0
349,45.0,0,travel rarely,954.0,,2,2,,783.0,2,male,46.0,1,2,sales representative,3,single,6632.0,12388,0,0.0,13,3.0,1,0,9.0,3,3.0,8,3,1,1
350,36.0,0,non-travel,1434.0,,8,4,,789.0,1,male,76.0,2,3,sales executive,1,single,7587.0,14229,1,,15,3.0,2,0,10.0,1,3.0,10,0,9,0
351,29.0,0,,657.0,,27,3,medical,793.0,2,female,66.0,3,2,healthcare representative,3,married,4335.0,25549,4,0.0,12,3.0,1,1,11.0,3,2.0,8,1,1,1
352,38.0,0,,240.0,,2,4,life sciences,803.0,1,female,75.0,4,2,manufacturing director,1,single,5980.0,26085,6,,12,3.0,4,0,17.0,2,3.0,15,4,12,0
353,40.0,0,,791.0,,13,2,medical,,1,female,38.0,4,2,healthcare representative,2,,4244.0,9931,1,0.0,24,4.0,4,1,8.0,2,3.0,8,3,7,1
354,42.0,0,travel frequently,570.0,,8,3,,809.0,2,male,66.0,3,5,manager,4,,,16225,1,0.0,13,3.0,2,1,24.0,4,2.0,24,14,9,1
355,36.0,0,travel rarely,676.0,,1,3,other,823.0,3,female,35.0,3,2,manufacturing director,2,,5228.0,23361,0,,15,3.0,1,1,,2,3.0,9,0,5,0
356,29.0,0,travel rarely,,,23,2,,,3,male,81.0,4,1,research scientist,3,married,2700.0,23779,1,,24,4.0,3,1,10.0,3,3.0,10,0,7,1
357,55.0,1,,436.0,,2,1,medical,842.0,3,male,37.0,3,2,sales executive,4,single,,21519,4,,16,3.0,3,0,,3,2.0,9,7,3,0
358,28.0,0,,760.0,sales,2,4,,,2,female,81.0,3,2,sales executive,2,,,3698,1,,20,4.0,1,0,8.0,2,3.0,8,7,5,1
359,26.0,1,,,,5,2,medical,,3,female,88.0,2,1,research scientist,3,married,2366.0,20898,1,,14,3.0,1,1,8.0,2,3.0,8,1,7,1
360,44.0,0,,661.0,,9,2,,913.0,2,male,61.0,3,1,research scientist,1,,,7508,1,1.0,13,3.0,4,0,8.0,0,3.0,8,7,1,1
361,41.0,1,,1085.0,research & development,2,4,life sciences,927.0,2,female,57.0,1,1,laboratory technician,4,divorced,,17725,4,1.0,13,3.0,3,1,,1,2.0,7,1,0,0
362,31.0,0,travel rarely,154.0,,7,4,,941.0,2,male,41.0,2,1,sales representative,3,,2329.0,11737,3,,15,,2,0,,2,4.0,7,5,2,0
363,26.0,0,travel frequently,1283.0,sales,28,3,medical,956.0,2,male,52.0,2,2,sales executive,1,,4294.0,11148,1,,12,3.0,2,0,,2,3.0,7,0,7,1
364,31.0,0,,616.0,,12,3,medical,,4,female,41.0,3,2,healthcare representative,4,,,17369,0,,11,3.0,3,2,10.0,2,1.0,9,8,5,0
365,32.0,0,,498.0,,3,4,medical,966.0,3,female,93.0,3,2,manufacturing director,1,married,6725.0,13554,1,,12,3.0,3,1,8.0,2,4.0,8,6,3,0
366,36.0,1,travel rarely,530.0,,3,1,life sciences,967.0,3,male,51.0,2,3,sales executive,4,married,10325.0,5518,1,,11,,1,1,,6,3.0,16,3,7,0
367,45.0,0,non-travel,805.0,,47,2,,972.0,4,male,57.0,3,2,laboratory technician,2,,4447.0,23163,1,,12,3.0,2,0,,5,2.0,9,0,8,1
368,39.0,0,travel rarely,903.0,,2,5,,,1,male,41.0,4,3,sales executive,3,single,,2560,0,0.0,18,3.0,4,0,9.0,3,3.0,8,0,7,0
369,36.0,0,non-travel,1229.0,,8,4,technical degree,990.0,1,male,84.0,3,2,sales executive,4,divorced,,25952,4,0.0,13,,4,2,12.0,3,3.0,7,0,7,1
370,46.0,0,,566.0,,7,2,medical,,4,male,,3,3,manufacturing director,3,,10845.0,24208,6,,13,3.0,2,1,,3,3.0,8,0,7,0
371,54.0,0,travel rarely,1441.0,,17,3,technical degree,1013.0,3,female,56.0,3,3,manufacturing director,3,,,13943,8,,11,,3,1,22.0,2,3.0,10,0,8,0
372,30.0,0,travel rarely,153.0,,8,2,,1015.0,2,female,73.0,4,3,research director,1,,,17802,0,1.0,12,3.0,3,3,,4,2.0,8,1,7,0
373,26.0,0,,1066.0,,2,2,medical,1018.0,4,male,32.0,4,2,manufacturing director,4,married,5472.0,3334,1,,12,3.0,2,0,,2,3.0,8,1,3,0
374,55.0,0,travel frequently,135.0,,18,4,medical,1034.0,3,male,62.0,3,2,healthcare representative,2,married,6385.0,12992,3,,14,3.0,4,2,,3,3.0,8,6,7,1
375,50.0,0,non-travel,145.0,sales,1,3,life sciences,,4,female,95.0,3,2,sales executive,3,married,6347.0,24920,0,,12,3.0,1,1,,3,3.0,18,0,13,0
376,32.0,0,non-travel,1109.0,,29,4,,1046.0,4,female,69.0,3,1,laboratory technician,3,single,,11135,9,0.0,12,3.0,2,0,10.0,2,3.0,8,7,7,1
377,53.0,0,travel frequently,124.0,,2,3,marketing,1050.0,3,female,38.0,2,3,sales executive,2,,7525.0,23537,2,,12,3.0,1,1,30.0,2,,15,6,12,1
378,40.0,0,travel rarely,300.0,,26,3,,,3,male,74.0,3,2,sales executive,1,married,,22217,1,,14,3.0,2,1,8.0,3,2.0,7,7,5,0
379,55.0,0,,444.0,,2,1,,1074.0,3,male,40.0,2,4,manager,1,single,,17323,7,0.0,15,3.0,2,0,,3,4.0,9,6,2,0
380,28.0,1,non-travel,1366.0,,24,2,,1082.0,2,male,72.0,2,3,healthcare representative,1,single,,12355,1,0.0,12,3.0,1,0,10.0,2,2.0,10,1,9,0
381,28.0,0,travel rarely,857.0,,10,3,other,1097.0,3,female,59.0,3,2,research scientist,3,single,3660.0,7909,3,0.0,13,3.0,4,0,,4,4.0,8,1,7,1
382,35.0,1,,1204.0,,4,3,technical degree,1100.0,4,male,86.0,3,3,sales executive,1,,,10333,0,,22,4.0,1,0,9.0,2,3.0,8,4,7,1
383,33.0,1,travel frequently,827.0,research & development,36,4,medical,1101.0,3,female,54.0,2,2,research scientist,3,single,,3129,1,0.0,22,4.0,2,0,14.0,4,3.0,13,3,8,1
384,25.0,1,,1219.0,research & development,4,1,technical degree,1106.0,4,male,32.0,3,1,laboratory technician,4,married,,4605,1,,15,,2,1,7.0,3,4.0,7,5,6,1
385,38.0,0,,770.0,sales,10,4,,1119.0,3,male,,2,3,sales executive,3,,8740.0,5569,0,1.0,14,3.0,2,2,9.0,2,,8,2,7,0
386,28.0,0,,950.0,,12,3,,,1,female,93.0,3,3,manufacturing director,2,,,8039,0,,17,3.0,2,3,,3,2.0,9,1,7,0
387,43.0,0,travel frequently,1082.0,,27,3,life sciences,1126.0,3,female,83.0,3,3,manufacturing director,1,married,,11535,8,0.0,11,3.0,3,1,18.0,1,3.0,8,0,1,0
388,39.0,1,travel frequently,203.0,research & development,2,3,life sciences,,1,male,84.0,3,4,healthcare representative,4,,,13547,7,0.0,11,3.0,4,3,21.0,4,3.0,18,11,5,0
389,40.0,0,travel rarely,1308.0,,14,3,,1128.0,3,male,44.0,2,5,research director,3,,,17544,1,0.0,14,,1,0,,2,,20,4,9,1
390,29.0,0,travel rarely,718.0,,8,1,medical,,2,male,79.0,2,2,manufacturing director,4,married,,17689,1,,15,3.0,3,1,10.0,2,2.0,10,1,2,1
391,40.0,0,,593.0,,32,4,,,2,female,88.0,3,3,research director,3,,13499.0,13782,9,0.0,17,3.0,3,0,20.0,3,2.0,18,2,13,0
392,26.0,0,travel rarely,1384.0,,3,4,,1177.0,1,male,82.0,4,1,laboratory technician,4,,,13421,1,,22,4.0,2,1,8.0,2,3.0,8,0,7,0
393,35.0,0,travel rarely,819.0,,2,3,,1182.0,3,male,44.0,2,3,manufacturing director,2,divorced,,19588,2,0.0,18,3.0,2,1,15.0,2,4.0,7,6,4,1
394,53.0,0,,1223.0,research & development,7,2,medical,1201.0,4,female,50.0,3,5,manager,3,divorced,,18640,3,0.0,18,3.0,2,1,26.0,6,3.0,7,4,7,0
395,35.0,0,,1361.0,,17,4,life sciences,1218.0,3,male,94.0,3,2,sales executive,1,,,21026,3,,15,3.0,4,3,15.0,2,3.0,7,1,7,1
396,33.0,0,,1146.0,,25,3,medical,1220.0,2,female,,3,2,sales executive,3,,,4905,1,0.0,12,3.0,1,1,,3,2.0,10,0,1,1
397,36.0,0,,,research & development,6,4,life sciences,,3,male,60.0,1,1,laboratory technician,3,divorced,,6865,1,0.0,14,3.0,3,1,,4,3.0,7,1,7,1
398,30.0,0,travel rarely,853.0,,7,4,life sciences,1224.0,3,male,49.0,3,2,laboratory technician,3,divorced,3491.0,11309,1,,13,,1,3,,4,2.0,10,8,9,0
399,60.0,0,,,,29,4,,,2,male,52.0,4,2,sales executive,4,divorced,5220.0,10893,0,,18,3.0,2,1,12.0,3,3.0,11,1,9,0
400,32.0,0,,1316.0,,2,2,life sciences,1235.0,4,female,38.0,3,2,research scientist,3,single,,2338,4,1.0,14,3.0,4,0,10.0,2,3.0,8,0,7,0
401,36.0,0,,363.0,,1,3,technical degree,1237.0,3,female,,1,3,manufacturing director,1,divorced,10252.0,4235,2,1.0,21,4.0,3,1,17.0,2,3.0,7,7,7,1
402,27.0,0,travel rarely,1103.0,,14,3,,,1,male,42.0,3,1,research scientist,1,,,14377,1,,14,3.0,4,2,,3,2.0,9,6,8,1
403,43.0,0,,920.0,research & development,3,3,life sciences,1255.0,3,male,96.0,1,5,research director,4,,19740.0,18625,3,0.0,14,3.0,2,1,,2,3.0,8,0,7,1
404,29.0,0,travel rarely,694.0,,1,3,,1264.0,4,female,,2,4,research director,4,divorced,,3423,3,0.0,14,3.0,2,2,9.0,2,2.0,7,1,7,0
405,59.0,0,,1429.0,,24,4,,1283.0,2,male,67.0,3,3,manufacturing director,4,single,,20002,6,0.0,12,3.0,4,0,,6,2.0,9,5,4,0
406,43.0,0,travel rarely,531.0,,4,4,marketing,1293.0,4,female,56.0,2,3,sales executive,4,single,,20364,3,0.0,14,3.0,4,0,23.0,3,4.0,21,15,17,1
407,44.0,1,travel rarely,621.0,,15,3,medical,1295.0,1,female,73.0,3,3,healthcare representative,4,married,,14075,1,,11,3.0,4,1,,2,3.0,10,0,5,1
408,29.0,1,,806.0,research & development,7,3,technical degree,,2,female,39.0,3,1,laboratory technician,3,divorced,,17285,3,1.0,13,3.0,1,2,10.0,2,3.0,7,7,7,1
409,32.0,0,travel rarely,604.0,,8,3,,,3,male,56.0,4,2,sales executive,4,married,6209.0,11693,1,,15,3.0,3,2,,4,4.0,10,0,8,0
410,36.0,0,travel rarely,325.0,,10,4,technical degree,,4,female,63.0,3,3,healthcare representative,3,married,7094.0,5747,3,0.0,12,3.0,1,0,,0,3.0,7,1,7,0
411,52.0,1,,1030.0,sales,5,3,,,2,male,64.0,3,3,sales executive,2,single,,21534,9,1.0,19,3.0,3,0,,2,2.0,8,7,7,1
412,39.0,0,travel rarely,524.0,,33,2,,1322.0,1,male,32.0,3,2,manufacturing director,3,single,4534.0,13352,0,,11,3.0,1,0,,6,,8,1,7,0
413,34.0,0,,943.0,,9,3,,1344.0,4,male,86.0,3,3,healthcare representative,4,,8500.0,5494,0,,11,,4,1,10.0,0,2.0,9,1,6,0
414,38.0,0,,1009.0,,2,2,life sciences,1355.0,2,female,31.0,3,2,sales executive,1,,,19461,3,,15,3.0,4,1,11.0,3,3.0,7,1,7,0
415,36.0,0,travel frequently,607.0,sales,12,3,marketing,1362.0,1,female,83.0,4,2,sales executive,1,married,4639.0,2261,2,0.0,16,3.0,4,1,,2,2.0,15,6,13,1
416,35.0,0,,817.0,,1,3,,1369.0,4,female,60.0,2,2,laboratory technician,4,,5363.0,10846,0,0.0,12,3.0,2,1,10.0,0,3.0,9,0,0,0
417,55.0,1,,,,13,4,,,1,male,85.0,4,4,sales executive,3,,,9277,6,,17,3.0,3,0,,2,2.0,19,3,8,0
418,34.0,0,,,,29,3,,1377.0,2,male,86.0,3,2,laboratory technician,3,,,17491,4,,13,3.0,1,2,10.0,1,3.0,8,7,7,0
419,43.0,0,,930.0,,6,3,medical,1402.0,1,female,73.0,2,2,research scientist,3,single,4081.0,20003,1,1.0,14,3.0,1,0,20.0,3,1.0,20,1,8,0
420,42.0,0,travel rarely,1147.0,,10,3,human resources,1408.0,3,female,31.0,3,4,manager,1,married,,16616,0,,14,3.0,3,1,21.0,5,3.0,20,0,9,0
421,26.0,0,travel rarely,652.0,,7,3,,1417.0,3,male,100.0,4,1,laboratory technician,1,single,3578.0,23577,0,0.0,12,3.0,4,0,8.0,2,3.0,7,0,7,0
422,29.0,1,,337.0,,14,1,other,1421.0,3,female,84.0,3,3,healthcare representative,4,single,,22930,0,1.0,12,3.0,1,0,,1,3.0,8,7,7,1
423,54.0,0,,971.0,research & development,1,3,,1422.0,4,female,54.0,3,4,research director,4,,17328.0,5652,6,,19,3.0,4,0,29.0,3,2.0,20,12,7,0
424,55.0,0,,1136.0,,1,4,,1424.0,2,male,81.0,4,4,research director,4,divorced,,12414,2,0.0,13,3.0,4,2,31.0,4,4.0,7,0,0,0
425,40.0,0,non-travel,663.0,,9,4,other,,3,male,81.0,3,2,laboratory technician,3,,,23099,3,0.0,11,3.0,3,2,11.0,2,,8,0,7,1
426,31.0,0,,326.0,,8,2,,,1,male,31.0,3,3,sales executive,4,divorced,10793.0,8386,1,,18,,1,1,13.0,5,3.0,13,9,9,0
427,46.0,1,,377.0,,9,3,marketing,1457.0,1,male,52.0,3,3,sales executive,4,divorced,,15986,4,0.0,11,3.0,1,1,28.0,1,4.0,7,4,3,1
428,45.0,0,travel rarely,1038.0,,20,3,medical,1460.0,2,male,95.0,1,3,healthcare representative,1,,10851.0,19863,2,1.0,18,3.0,2,1,,2,3.0,7,0,7,0
429,49.0,0,travel rarely,1490.0,,7,4,life sciences,1484.0,3,male,35.0,3,3,healthcare representative,2,divorced,10466.0,20948,3,,14,3.0,2,2,29.0,3,3.0,8,0,7,0
430,29.0,0,travel rarely,1246.0,,19,3,,1497.0,3,male,77.0,2,2,sales executive,3,,,23757,1,,14,3.0,3,2,10.0,3,3.0,10,0,4,1
431,29.0,1,,224.0,,1,4,technical degree,1522.0,1,male,100.0,2,1,research scientist,1,single,2362.0,7568,6,0.0,13,3.0,3,0,,2,1.0,9,0,7,1
432,29.0,0,,441.0,,8,1,other,1544.0,3,female,39.0,1,2,healthcare representative,1,,,7288,3,0.0,13,3.0,3,1,9.0,3,3.0,7,0,7,1
433,40.0,0,travel rarely,898.0,human resources,6,2,,,3,male,38.0,3,4,manager,4,single,,17381,1,1.0,21,4.0,4,0,21.0,2,3.0,21,7,7,1
434,48.0,0,,,sales,16,4,life sciences,,3,female,96.0,3,2,sales executive,3,divorced,6439.0,13693,8,0.0,14,3.0,3,1,18.0,2,,8,7,7,1
435,53.0,1,,607.0,,2,5,,1572.0,3,female,78.0,2,3,manufacturing director,4,married,,14618,0,,16,3.0,2,1,,4,3.0,33,1,9,1
436,44.0,0,,1313.0,,7,3,medical,1608.0,2,female,31.0,3,5,research director,4,,,3549,0,1.0,14,,4,1,,4,2.0,22,1,10,0
437,45.0,0,,1015.0,,5,5,,1611.0,3,female,50.0,1,2,laboratory technician,1,,5769.0,23447,1,,14,3.0,1,0,10.0,3,3.0,10,1,4,0
438,45.0,0,non-travel,,,26,3,marketing,1612.0,1,male,52.0,2,2,sales executive,1,,4385.0,24162,1,,15,,1,1,10.0,2,,10,4,5,0
439,34.0,0,travel frequently,426.0,,10,4,,1615.0,3,male,42.0,4,2,manufacturing director,4,,,17000,1,,13,3.0,1,1,9.0,3,,9,7,2,1
440,39.0,0,,1387.0,research & development,10,5,medical,,2,male,76.0,3,2,manufacturing director,1,,,3835,2,,13,3.0,4,3,,3,3.0,7,7,7,0
441,27.0,0,,1302.0,research & development,36,3,,1619.0,3,male,,2,1,laboratory technician,1,divorced,4066.0,16290,1,0.0,11,3.0,1,2,7.0,3,3.0,7,0,7,1
442,45.0,0,travel rarely,1329.0,,2,2,,1635.0,4,female,59.0,2,2,manufacturing director,4,divorced,,5388,1,,19,3.0,1,2,10.0,3,3.0,10,3,9,1
443,44.0,0,,602.0,,1,5,,1642.0,1,male,37.0,3,2,human resources,4,married,,10503,4,1.0,11,3.0,3,0,14.0,3,3.0,10,0,2,0
444,25.0,0,,772.0,,2,1,life sciences,1653.0,4,male,77.0,4,2,manufacturing director,3,divorced,5206.0,4973,1,,17,3.0,3,2,7.0,6,3.0,7,0,7,0
445,49.0,0,,809.0,,1,3,,,3,male,36.0,3,4,manager,3,single,,22384,4,,14,3.0,1,0,23.0,2,3.0,8,0,0,0
446,48.0,1,travel frequently,,,7,2,,1691.0,4,female,95.0,3,1,sales representative,3,,2655.0,11740,2,,11,,3,2,19.0,3,3.0,9,7,7,0
447,26.0,0,,786.0,,7,3,medical,1693.0,4,male,76.0,3,1,laboratory technician,4,,2570.0,11925,1,0.0,20,4.0,3,0,7.0,5,3.0,7,5,7,1
448,44.0,0,travel rarely,921.0,,2,3,life sciences,1703.0,3,female,96.0,4,3,healthcare representative,4,,,14810,1,,19,,2,1,,2,3.0,8,6,7,1
449,36.0,0,,530.0,,2,4,,,3,female,51.0,3,2,sales representative,4,single,4502.0,7439,3,,15,,3,0,17.0,2,2.0,13,6,7,1
450,46.0,0,,717.0,research & development,13,4,,1727.0,3,male,34.0,3,2,healthcare representative,2,single,,9697,6,0.0,14,3.0,4,0,19.0,3,3.0,10,0,9,0
451,35.0,0,,1370.0,,27,4,life sciences,1728.0,4,male,49.0,3,2,manufacturing director,3,married,,5151,2,,16,3.0,2,1,17.0,3,3.0,7,0,7,1
452,30.0,0,travel frequently,1312.0,,2,4,,1745.0,4,female,78.0,2,1,research scientist,1,,4968.0,26427,0,,16,3.0,4,0,10.0,2,,9,0,7,0
453,30.0,0,,979.0,,15,2,marketing,1754.0,3,male,94.0,2,3,sales executive,1,,,3088,2,0.0,11,3.0,1,1,,2,3.0,7,1,7,1
454,33.0,0,non-travel,1283.0,,2,3,marketing,1756.0,4,female,62.0,3,2,sales executive,2,,5147.0,10697,8,0.0,15,3.0,4,0,13.0,2,2.0,11,1,7,0
455,32.0,0,,953.0,,5,4,,1764.0,2,male,65.0,3,1,research scientist,2,single,2718.0,17674,2,0.0,14,3.0,2,0,12.0,3,3.0,7,0,7,1
456,43.0,0,travel rarely,244.0,,2,3,life sciences,1778.0,2,male,97.0,3,1,human resources,4,,3539.0,5033,0,0.0,13,3.0,2,0,,5,3.0,9,1,8,0
457,31.0,0,travel rarely,196.0,,29,4,marketing,,1,female,91.0,2,2,sales executive,4,,5468.0,13402,1,,14,3.0,1,2,,3,3.0,12,5,7,1
458,35.0,1,,303.0,,27,3,,1797.0,3,male,84.0,3,2,sales executive,4,,5813.0,13492,1,,18,3.0,4,0,,2,3.0,10,7,7,0
459,35.0,0,non-travel,1180.0,research & development,2,2,medical,1804.0,2,male,90.0,3,2,manufacturing director,4,divorced,,24442,2,0.0,14,3.0,3,1,15.0,6,3.0,7,1,7,0
460,30.0,0,,1092.0,,10,3,medical,1816.0,1,female,64.0,3,3,manufacturing director,3,single,9667.0,2739,9,0.0,14,3.0,2,0,9.0,3,3.0,7,0,2,0
461,46.0,1,travel rarely,261.0,,19,2,medical,1821.0,4,female,66.0,3,2,healthcare representative,2,married,,10842,4,0.0,22,4.0,4,1,13.0,2,4.0,9,3,7,0
462,45.0,0,non-travel,589.0,,2,4,,,3,female,67.0,3,2,sales executive,3,married,5154.0,19665,4,,22,4.0,2,2,10.0,3,4.0,8,5,7,0
463,43.0,0,travel frequently,1422.0,,2,4,life sciences,1849.0,1,male,92.0,3,2,sales executive,4,married,5675.0,19246,1,,20,4.0,3,1,7.0,5,3.0,7,7,7,0
464,46.0,1,,,,10,3,life sciences,1869.0,3,female,64.0,3,3,sales executive,2,,7314.0,14011,5,,21,4.0,3,3,14.0,2,3.0,8,0,7,1
465,40.0,0,travel rarely,1137.0,research & development,1,4,,,1,male,98.0,3,4,manager,1,,,18991,2,,11,3.0,1,1,22.0,3,,19,11,16,0
466,27.0,0,travel rarely,511.0,sales,2,2,,1898.0,1,female,89.0,4,2,sales executive,3,single,,26997,0,0.0,14,3.0,2,0,9.0,5,2.0,8,0,7,0
467,42.0,0,,1396.0,,6,3,medical,1911.0,3,male,83.0,3,3,research director,1,married,,14842,9,0.0,13,3.0,2,1,18.0,3,4.0,13,5,7,1
468,26.0,0,travel frequently,1096.0,,6,3,other,,3,male,61.0,4,1,laboratory technician,4,married,,7102,0,0.0,18,3.0,1,1,8.0,3,3.0,7,7,7,0
469,28.0,0,travel frequently,,,1,2,life sciences,1927.0,3,male,42.0,2,2,sales executive,4,married,,19255,1,,12,3.0,3,1,7.0,2,3.0,7,0,7,0
470,47.0,0,,1169.0,,14,4,,1934.0,3,male,64.0,3,2,research scientist,2,married,,2125,8,,18,3.0,3,1,,4,4.0,8,1,7,0
471,34.0,0,travel rarely,1239.0,,13,4,medical,1951.0,4,male,39.0,3,3,sales executive,3,divorced,,22914,1,0.0,18,3.0,3,1,9.0,2,2.0,8,1,1,1
472,26.0,0,,157.0,research & development,1,3,medical,1952.0,3,male,95.0,3,1,laboratory technician,1,single,,20006,0,0.0,13,3.0,4,0,8.0,6,,7,7,6,1
473,27.0,0,travel rarely,954.0,,9,3,,1965.0,4,male,44.0,3,2,sales executive,4,,,5099,1,,14,3.0,1,0,,5,,7,0,7,0
474,31.0,1,travel frequently,754.0,sales,26,4,marketing,1967.0,1,male,63.0,3,2,sales executive,4,,,21075,1,1.0,11,3.0,3,0,10.0,4,3.0,10,0,8,1
475,33.0,0,travel frequently,1303.0,,7,2,life sciences,,4,male,,3,2,healthcare representative,3,divorced,,18079,1,,20,,3,3,9.0,2,3.0,9,2,8,1
476,31.0,0,,697.0,,10,3,,1979.0,3,female,40.0,3,3,research director,3,married,,26862,4,0.0,20,4.0,3,1,13.0,2,4.0,11,4,8,1
477,35.0,0,,1395.0,,9,4,medical,2008.0,2,male,48.0,3,2,research scientist,3,,5098.0,18698,1,0.0,19,3.0,2,0,10.0,5,3.0,10,0,8,1
478,33.0,0,travel rarely,501.0,,15,2,,2009.0,2,female,95.0,3,2,healthcare representative,4,married,,21653,0,1.0,13,,1,1,,6,3.0,9,8,1,1
479,39.0,0,travel rarely,116.0,,24,1,life sciences,2014.0,1,male,52.0,3,2,research scientist,4,single,,5340,7,0.0,13,,1,0,,2,3.0,7,1,7,0
480,36.0,0,travel rarely,557.0,,46,3,,,4,female,94.0,2,3,sales executive,4,married,,12695,0,0.0,19,3.0,3,2,10.0,2,3.0,9,3,4,1
481,41.0,0,travel rarely,582.0,,28,4,life sciences,2034.0,1,female,60.0,2,4,manufacturing director,2,married,13570.0,5640,0,0.0,23,,3,1,21.0,3,3.0,20,0,10,1
482,34.0,0,,704.0,sales,28,3,marketing,2035.0,4,female,95.0,2,2,sales executive,3,married,6712.0,8978,1,0.0,21,4.0,4,2,8.0,2,3.0,8,1,7,0
483,38.0,0,travel rarely,,,10,2,,,1,female,100.0,3,2,sales executive,4,married,,5982,1,0.0,11,3.0,3,1,10.0,1,3.0,10,1,9,1
484,39.0,0,travel rarely,613.0,,6,1,,2062.0,4,male,42.0,2,3,healthcare representative,1,,9991.0,21457,4,,15,3.0,1,1,,5,3.0,7,1,7,1
485,34.0,0,travel rarely,419.0,,7,4,,28.0,1,female,53.0,3,3,research director,2,single,,21293,0,0.0,11,,3,0,,4,3.0,12,2,11,0
486,44.0,0,travel rarely,477.0,,7,4,medical,,1,female,42.0,2,3,healthcare representative,4,married,10248.0,2094,3,,14,,4,1,24.0,4,3.0,22,5,17,0
487,46.0,0,,1211.0,,5,4,,62.0,1,male,98.0,3,2,sales executive,4,single,,20445,4,,21,,3,0,14.0,4,3.0,9,0,8,1
488,41.0,0,travel frequently,857.0,research & development,10,3,life sciences,199.0,4,male,91.0,2,4,manager,1,divorced,,12888,4,,13,3.0,2,1,,2,2.0,7,7,7,0
489,39.0,0,,505.0,research & development,2,4,,343.0,3,female,64.0,3,3,healthcare representative,3,single,10938.0,6420,0,0.0,25,4.0,4,0,20.0,1,3.0,19,11,8,0
490,42.0,0,travel rarely,269.0,,2,3,medical,351.0,4,female,56.0,2,1,laboratory technician,1,divorced,2593.0,8007,0,1.0,11,3.0,3,1,10.0,4,3.0,9,7,8,0
491,33.0,0,travel frequently,553.0,research & development,5,4,,428.0,4,female,74.0,3,3,manager,2,married,11878.0,23364,6,,11,,2,2,12.0,2,3.0,10,8,8,0
492,35.0,0,travel rarely,1296.0,,5,4,technical degree,464.0,3,male,62.0,3,3,manufacturing director,2,single,8095.0,18264,0,0.0,13,3.0,4,0,17.0,5,3.0,16,0,13,1
493,33.0,1,travel rarely,1277.0,,15,1,medical,,2,male,56.0,3,3,manager,3,married,,24619,7,,12,3.0,4,0,15.0,2,4.0,7,7,7,0
494,40.0,0,travel rarely,302.0,,6,3,life sciences,,2,female,75.0,3,4,manufacturing director,3,single,,20364,7,0.0,15,3.0,3,0,22.0,3,3.0,20,5,13,0
495,41.0,0,travel rarely,427.0,,10,4,human resources,731.0,2,male,73.0,2,5,manager,4,divorced,,8861,3,0.0,15,3.0,2,3,23.0,2,2.0,21,12,6,0
496,27.0,0,,975.0,,7,3,,764.0,4,female,55.0,2,2,healthcare representative,1,,,23398,8,0.0,19,3.0,1,0,,2,1.0,7,0,7,0
497,52.0,0,travel rarely,621.0,,3,4,marketing,,3,male,31.0,2,4,manager,1,,16856.0,10084,1,,11,3.0,1,0,,3,4.0,34,1,16,1
498,51.0,0,travel rarely,1318.0,,26,4,marketing,851.0,1,female,66.0,3,4,manager,3,married,,5594,2,0.0,14,3.0,3,1,,2,2.0,20,4,17,0
499,47.0,0,travel rarely,249.0,,2,2,marketing,903.0,3,female,35.0,3,2,sales executive,4,,4537.0,17783,0,,22,4.0,1,1,8.0,2,3.0,7,7,7,1
500,50.0,0,non-travel,881.0,research & development,2,4,,905.0,1,male,98.0,3,4,manager,1,divorced,17924.0,4544,1,,11,3.0,4,1,31.0,3,3.0,31,14,7,0
